"Name"	"Time"	"Stream"	"key"	"value"	"std_p"	"Mw"	"Concentration"	"start_vol"	"Recovery"	"plot"
"ID:7A"	0	"Feed"	"SiO2"	47.8	0.0418410041841004	60.08	0.79560585885486	10	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	1.5	"Feed"	"SiO2"	59.4	0.0336700336700337	60.08	0.988681757656458	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	4	"Feed"	"SiO2"	65.8	0.0303951367781155	60.08	1.09520639147803	10	40.8	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	7	"Feed"	"SiO2"	76.8	0.0260416666666667	60.08	1.27829560585885	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	8.5	"Feed"	"SiO2"	93	0.021505376344086	60.08	1.54793608521971	10	86.7	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	0	"Feed"	"SiO2"	42.6	0.0469483568075117	60.08	0.709054593874834	8.45	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	1.5	"Feed"	"SiO2"	41.6	0.0480769230769231	60.08	0.692410119840213	8.45	18.1065088757396	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	4	"Feed"	"SiO2"	43.8	0.045662100456621	60.08	0.729027962716378	8.45	48.2840236686391	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	6.5	"Feed"	"SiO2"	46.4	0.0431034482758621	60.08	0.772303595206391	8.45	78.4615384615385	"Ca, Cl, Mg, SiO2, SO4"
"ID:7B"	7.25	"Feed"	"SiO2"	48.2	0.04149377593361	60.08	0.802263648468708	8.45	87.5147928994083	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	0	"Permeate"	"SiO2"	NA	NA	60.08	NA	10	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	1.5	"Permeate"	"SiO2"	41.8	0.0478468899521531	60.08	0.695739014647137	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	4	"Permeate"	"SiO2"	45.2	0.0442477876106195	60.08	0.752330226364847	10	40.8	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	7	"Permeate"	"SiO2"	51	0.0392156862745098	60.08	0.848868175765646	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
"ID:6A"	8.5	"Permeate"	"SiO2"	NA	NA	60.08	NA	10	86.7	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	0	"Permeate"	"SiO2"	NA	NA	60.08	NA	8.5	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	1.5	"Permeate"	"SiO2"	44.2	0.0452488687782805	60.08	0.735685752330226	8.5	18	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	4	"Permeate"	"SiO2"	41	0.0487804878048781	60.08	0.682423435419441	8.5	48	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	6.5	"Permeate"	"SiO2"	41.1	0.048661800486618	60.08	0.684087882822903	8.5	78	"Ca, Cl, Mg, SiO2, SO4"
"ID:6B"	7.25	"Permeate"	"SiO2"	NA	NA	60.08	NA	8.5	87	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	0	"Permeate"	"SiO2"	NA	NA	60.08	NA	10	0	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	1.5	"Permeate"	"SiO2"	39.8	0.050251256281407	60.08	0.662450066577896	10	15.3	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	4	"Permeate"	"SiO2"	43	0.0465116279069767	60.08	0.715712383488682	10	40.8	"Ca, Cl, Mg, SiO2, SO4"
"ID:7A"	7	"Permeate"	"SiO2"	46.2	0.0432900432900433	60.08	0.768974700399467	10	71.4	"Ca, Cl, Mg, SiO2, SO4"
